car_name,fuel_type,engine_displacement,no_cylinder,seating_capacity,transmission_type,fuel_tank_capacity,body_type,rating,max_torque_nm,max_torque_rpm,max_power_bhp,max_power_rp
Maruti Alto K10,Petrol,998,3,5,Automatic,27,Hatchback,4.5,89,3500,65.71,5500
Maruti Brezza,Petrol,1462,4,5,Automatic,48,SUV,4.5,136.8,4400,101.65,6000
Hyundai Creta,Diesel,1493,4,5,Automatic,50,SUV,4.5,250,2750,113.45,4000
Tata Punch,Petrol,1199,3,5,Automatic,37,SUV,4.5,113,3400,84.48,6000
Mahindra Bolero,Diesel,1498,3,7,Manual,60,SUV,4.5,210,2200,74.96,3600
Maruti Swift,Petrol,1197,4,5,Automatic,37,Hatchback,4,113,4400,88.5,6000
Tata Nexon,Diesel,1497,4,5,Automatic,44,SUV,4.5,260,2750,108.49,4000
Hyundai Venue,Petrol,998,3,5,Automatic,45,SUV,4.5,172,4000,118.41,6000
Kia Seltos,Diesel,1493,4,5,Automatic,50,SUV,4.5,250,2750,113.43,4000
Hyundai Tucson,Diesel,1997,4,5,Automatic,54,SUV,4.5,416,2750,183.72,4000
Tata Harrier,Diesel,1956,4,5,Automatic,50,SUV,4.5,350,2500,167.67,3750
Maruti Baleno,Petrol,1197,4,5,Automatic,37,Hatchback,4.5,113,4400,88.5,6000
Maruti Ertiga,Petrol,1462,4,7,Automatic,45,MUV,4.5,136.8,4400,101.65,6000
Kia Sonet,Diesel,1493,4,5,Automatic,45,SUV,4,250,2750,113.43,4000
Maruti Dzire,Petrol,1197,4,5,Automatic,37,Sedan,4.5,113,4400,88.5,6000
Honda City 4th Generation,Petrol,1497,4,5,Manual,40,Sedan,4.5,145,4600,117.6,6600
Hyundai i20,Petrol,998,3,5,Automatic,37,Hatchback,3.5,171.62,4000,118.36,6000
Mahindra XUV300,Diesel,1497,4,5,Automatic,42,SUV,4.5,300,2500,115,3750
MG Hector,Diesel,1956,4,5,Manual,60,SUV,4,350,2500,167.68,3750
Tata Altroz,Diesel,1497,4,5,Manual,37,Hatchback,4.5,200,3000,88.77,4000
Hyundai Verna,Diesel,1493,4,5,Automatic,45,Sedan,4.5,250,2750,113.45,4000
Citroen C3,Petrol,1199,3,5,Manual,30,Hatchback,4.5,190,1750,108.62,5500
Honda City,Diesel,1498,4,5,Manual,40,Sedan,4.5,200,1750,97.89,3600
Maruti Celerio,Petrol,998,3,5,Automatic,32,Hatchback,3.5,89,3500,65.71,5500
Nissan Magnite,Petrol,999,3,5,Automatic,40,SUV,4.5,152,4400,98.63,5000
Renault KWID,Petrol,999,3,5,Automatic,28,Hatchback,4.5,91,4250,67.06,5500
Renault Kiger,Petrol,999,3,5,Automatic,40,SUV,4.5,152,4400,98.63,5000
Maruti S-Presso,Petrol,998,3,5,Automatic,27,Hatchback,4.5,89,3500,65.71,5500
MG Astor,Petrol,1349,3,5,Automatic,45,SUV,4.5,220,3600,138.08,5600
Honda Amaze,Diesel,1498,4,5,Automatic,35,Sedan,4.5,160,1750,79.12,3600
